NO,Nilai,Kurs Jual,Kurs Beli,Tanggal,kurs_tengah,log_return
1130,1,14449.89,14306.11,2021-12-13,14378.0,0.001879285965169073
1129,1,14417.73,14274.27,2021-12-14,14346.0,-0.00222810285743707
1128,1,14419.74,14276.26,2021-12-15,14348.0,0.00013940196579338425
1127,1,14408.69,14265.32,2021-12-16,14337.005000000001,-0.0007666026579713509
1126,1,14414.72,14271.29,2021-12-17,14343.005000000001,0.00041840990205599605
1125,1,14414.72,14271.29,2021-12-20,14343.005000000001,0.0
1124,1,14455.92,14312.08,2021-12-21,14384.0,0.0028541108151435967
1123,1,14420.75,14277.26,2021-12-22,14349.005000000001,-0.002435875906717176
1122,1,14335.32,14192.68,2021-12-23,14264.0,-0.005941721261708038
1121,1,14322.26,14179.75,2021-12-24,14251.005000000001,-0.0009114500172539247
1120,1,14290.1,14147.91,2021-12-27,14219.005000000001,-0.0022479804872407865
1119,1,14296.13,14153.88,2021-12-28,14225.005,0.00042188144983714343
1118,1,14308.19,14165.82,2021-12-29,14237.005000000001,0.0008432293229492465
1117,1,14336.33,14193.68,2021-12-30,14265.005000000001,0.0019647743445080526
1116,1,14340.35,14197.66,2021-12-31,14269.005000000001,0.0002803671847175656
1115,1,14349.39,14206.61,2022-01-03,14278.0,0.0006301887219123545
1114,1,14341.35,14198.65,2022-01-04,14270.0,-0.0005604595915237604
1113,1,14381.55,14238.45,2022-01-05,14310.0,0.0027991620796145524
1112,1,14436.83,14293.18,2022-01-06,14365.005000000001,0.003836446931054187
1111,1,14467.98,14324.02,2022-01-07,14396.0,0.002155349717370562
1110,1,14431.8,14288.2,2022-01-10,14360.0,-0.0025038265967061903
1109,1,14394.62,14251.39,2022-01-11,14323.005000000001,-0.0025795777335328725
1108,1,14370.5,14227.51,2022-01-12,14299.005000000001,-0.0016770314610937192
1107,1,14373.51,14230.49,2022-01-13,14302.0,0.0002094332007527314
1106,1,14382.56,14239.45,2022-01-14,14311.005000000001,0.0006294340840681085
1105,1,14381.55,14238.45,2022-01-17,14310.0,-7.022814191282079e-05
1104,1,14394.62,14251.39,2022-01-18,14323.005000000001,0.0009083923181855973
1103,1,14396.63,14253.38,2022-01-19,14325.005,0.00013962575433676717
1102,1,14441.85,14298.15,2022-01-20,14370.0,0.003136088450051708
1101,1,14425.77,14282.23,2022-01-21,14354.0,-0.0011140510830533626
1100,1,14418.74,14275.27,2022-01-24,14347.005000000001,-0.0004874393867739949
1099,1,14398.64,14255.37,2022-01-25,14327.005000000001,-0.0013949917185169542
1098,1,14429.79,14286.21,2022-01-26,14358.0,0.0021610602517020956
1097,1,14417.73,14274.27,2022-01-27,14346.0,-0.0008361204500485702
1096,1,14456.93,14313.08,2022-01-28,14385.005000000001,0.0027151868834974307
